relative_path,size_bytes,sha256
code/build_notebook.py,3708,403fe12c0d0763e085c471644b0004af366ddd558f349c0c4e55ec22868ae050
code/execute_notebook.py,2280,f46fb2bcf8f3e0743e409b4dfc5f3dab4366dd136a6b0ee5b06f28d5c97649fa
code/fourfold_cv_core.py,51571,1dadc19f04a07f0fa6b1e31d5d64f9fe458e02bb3a9008f7e249b09ffce158cd
code/HMM_fourfold_heldout_comparison.ipynb,17858,8b8fd2cd5aded440b1c0a242f9e5e42f3568923ebcaf4e412b0d5ce87d0d6e6c
code/inject_emhmm_into_primary_html.py,10224,85d525fc480ac76567ca172cf1f4344497cbac01eb8769e08f23e2cec0b60ea1
code/inspect_embedded_payload.py,3019,b6fc78a43d3ea0ee2cdf51263304d5910416f2346a7611ca846cc3dd177e2153
code/post_run_validation.py,5981,1931339345710e35b36ba40232ac38950f4731d3cef068b139f9ab1eee5d5b61
code/protected_snapshot_after.json,35719,11efa287971937d20715a4bb72e43446cdb7e1e77b014c60c4cf330f820aed77
code/protected_snapshot_before.json,35719,11efa287971937d20715a4bb72e43446cdb7e1e77b014c60c4cf330f820aed77
code/validate_primary_injection.py,4285,5487a7e7c64a954919cee45502629eb59831be7b69acde2f319e45b0d0a2daa5
data/perceptual_arbitration_results.html,1400507,96f2698d73ff0cd3486a519b70b867ad7900e242b9829f73a3515b89e29167a9
figures/cv_convergence_iterations.png,62452,2d1ea4fd068f4da56748be10938cb356438d9ee34fe6d9b9d2952ef9859915a4
figures/cv_convergence_iterations.svg,36527,28ca47729dbad13d793b4a3329863df7a0df943ea28144f18fa9746909972649
figures/heldout_model_comparison.png,207204,4e8fdddfbc967aee3916ba3cf84e2771b709a3333f809c36d181ca56e5cfed80
figures/heldout_model_comparison.svg,84265,a9f87d4d357337f64d050e9526109458d2b1dd9a97f8e563ae4d6ec2295f8a54
figures/our_model_fold_performance.png,117423,27f2cd9c8f31886e7828908461e213a2a3fbcad56860f2c61de368989e3e4c59
figures/our_model_fold_performance.svg,34479,75260003428eb9bb1cdf4a8845685405ad5d896a40685f11f5c9a170da4dbf75
figures/our_model_subject_performance.png,63684,8c9fbc6ed2d8ab0de229378cf7e88ae32849792b6985bfbc824583d0c644d0df
figures/our_model_subject_performance.svg,35214,238e62cdf3cf8d6f5439cf3be7c9cdc7fbb84bd5298f60a990194f176e5abf1d
figures/predictive_density_ratio_vs_source_models.png,115919,38f0b61bdb5406901072a0dc0d1c9bbf832faf4b42d8e199c22654383bf6dfe7
figures/predictive_density_ratio_vs_source_models.svg,51006,2adac83cfdd293cf1e817cf64d11de2491ac5100f8faf68dde1bc09968b84da5
html/HMM_fourfold_comparison_with_original_report.html,1404290,298c80cfea3a7d500745934dcf94ef47ad7a89877f69c2aab514e68284284eb4
README.md,1270,1084ebbe625954093234d9c4074d0dfb18a9cb2a9de52b974cfea471c98683ef
reports/FINAL_VALIDATION_REPORT.txt,605,e65f85c01c6eb0b7cc7670c4ffbcf5ae4871e00329c0b0d2450d9ba468446114
reports/fourfold_comparison_report.md,1255,5709d28f861985c73f0940f31694f52ccb13b590857eb7eb9d542453333a32ac
reports/POST_RUN_VALIDATION_REPORT.txt,1069,62a208a7a039b65f7d8ebd202ad4209a4203d5aeb4f34158741f9634a9f4dd08
reports/run_metadata.json,1288,36ab8a908f301eddf9c7180c40a3aee49b8f0e9e44eefedb2e7cc898678bee3f
results/cv_fit_diagnostics.csv,32174,64e9e96fbbdc30f27f086e98f7ed83c650da16e77b34df129740fd8b9d0687b5
results/cv_fold_assignments.csv,15178,d1a9e8d16a4cd0036f5ce9bab80d1c5f99201d5de4f27701b61fda1456f756a3
results/heldout_model_comparison.csv,1370,37a7895b6a61066842af1ed2221a55cc3aea4f534b6b68f5dabde6efc24e364b
results/missing_trials_excluded.csv,114,f100e2ebb635e6cc5709ade74d5898835d5cb70b800d003477bf923b30dcd590
results/our_model_fourfold_fold_summary.csv,262,6ab7f60bc02c191e9ca33c416a5ece72e43aee2bee1b27ac593c83878515a3b8
results/our_model_fourfold_overall_summary.csv,479,43eec5a02436fd33a0754c097ff341cb17ba45f72b53d6d49cc9ef1b80ab2a43
results/our_model_fourfold_sequence_scores.csv,28654,1bac5cd56b7ebb7f5346c70c42bb295c94cd234b4c4323830b3c0210c95d9329
results/our_model_fourfold_subject_summary.csv,658,a52dc3d95762980a6df76aa21f1d6d1e376831ec90d67363237e1f467376bebf
results/our_model_fourfold_trial_predictions.csv,30829151,ba34758e2bb89cdaa111d75446d84191eaf3c767df87d22ca174bbfb054d3d4b
