subject_id,n_trials,n_runs,log_likelihood,ll_per_trial
1,8562,40,-3978.6554297956145,-0.46468762319500284
2,7877,37,-4585.551178815807,-0.5821443669945167
3,9412,44,-4501.87401851511,-0.47831215666331384
4,4799,23,-3742.2550664818614,-0.7797989302941991
5,5789,27,-7446.778800876841,-1.28636704109118
6,7553,35,-6901.624920676353,-0.9137594228354764
7,5797,27,-3778.177301303993,-0.6517469900472646
8,5797,27,-7161.327669610356,-1.2353506416440152
9,8632,40,-7463.155690036334,-0.864591715713199
10,6044,28,-6256.601923992613,-1.035175698873695
11,6474,30,-5444.457216747112,-0.8409726933498783
12,6474,30,-6186.872721258161,-0.9556491691779674
