subject_id,original_final_log_likelihood,original_sensory_weight,original_prior_weight,original_lapse_weight,shuffled_final_log_likelihood,shuffled_sensory_weight,shuffled_prior_weight,shuffled_lapse_weight,original_mean_diagonal_transition,original_transition_entropy,shuffled_mean_diagonal_transition,shuffled_transition_entropy,original_switch_rate,original_mean_state_dwell_time,original_mean_sensory_dwell_time,original_mean_prior_dwell_time,original_mean_lapse_dwell_time,shuffled_switch_rate,shuffled_mean_state_dwell_time,shuffled_mean_sensory_dwell_time,shuffled_mean_prior_dwell_time,shuffled_mean_lapse_dwell_time
1,-3932.074763461128,0.7089214925412279,0.284730694653373,0.0063478128053985,-4015.0855635513108,0.7314473200875277,0.26446352425744923,0.004089155655023197,0.5333383361777276,0.5178409575259459,0.36403064807413504,0.43229937184452455,0.1300164280685285,7.458188153310105,11.01733102253033,3.924731182795699,1.1538461538461537,0.25017601501994835,3.9419889502762433,6.194722474977252,1.6436672967863895,1.0
2,-4530.386690815907,0.2797737764407606,0.6821227687360446,0.038103454823193,-4641.868006159846,0.2779535372093061,0.7158582964220609,0.006188166368633057,0.7426831524567312,0.579190340253799,0.5540704496498347,0.6402088533213047,0.12512755102040815,7.737721021611002,3.4198782961460448,12.13552361396304,7.394736842105263,0.25790816326530613,3.825643516270034,1.3438423645320197,6.248794599807136,4.714285714285714
3,-4406.83063186166,0.6062666925625703,0.3762759643004177,0.0174573431370115,-4485.464809043269,0.6207254153071231,0.3604781935688595,0.018796391124017278,0.649130951831069,0.19843562784422,0.6542985240557014,0.16776997921420259,0.030102476515798463,28.87116564417178,33.94767441860465,43.18518518518518,1.0273972602739727,0.025405636208368915,33.3758865248227,40.5,61.017857142857146,1.025
4,-3710.762560901429,0.4711458908755688,0.4911107814241069,0.0377433277003244,-3798.4707509682034,0.48203198361318766,0.47712386656433775,0.040844149822474494,0.6755574496988569,0.3302864597232227,0.6350549798250135,0.19802880608983764,0.03936348408710218,22.744075829383885,23.18,45.43396226415094,1.2586206896551724,0.035175879396984924,25.12565445026178,24.45263157894737,73.12121212121212,1.0
5,-7395.50798927475,0.9005829090771996,0.0332986239089852,0.0661184670138119,-7412.483466619005,0.9007527502079155,0.015661350280315803,0.08358589951176885,0.5951945882643005,0.2572369185503249,0.7022508164728604,0.3599448791164351,0.030544949670253386,28.517241379310345,47.243478260869566,1.0,13.761904761904763,0.047032280458174244,19.426174496644297,34.19135802469136,24.5,1.1515151515151516
6,-6867.3445713657575,0.6175475280219326,0.3511231535932791,0.0313293183847864,-6997.212587725046,0.6145733160422415,0.34743368895557536,0.03799299500218322,0.8750675699174794,0.2805637963523549,0.7221639432495927,0.28941754369721107,0.009577015163607342,70.58878504672897,83.8103448275862,122.95238095238095,3.9285714285714284,0.022479382814578345,37.02450980392157,44.58878504672897,93.06896551724138,1.2205882352941178
7,-3748.0908968763247,0.6137485212469771,0.3551979464571355,0.0310535322958872,-3832.0543570448713,0.6039642506629179,0.36702477943938816,0.029010969897693962,0.67688516605768,0.20834393791226957,0.6751063511908925,0.27842377735055496,0.024090121317157712,34.92168674698795,41.60919540229885,88.20833333333333,1.0909090909090908,0.02149046793760832,38.390728476821195,56.215384615384615,86.58333333333333,1.0483870967741935
8,-7107.878243254242,0.39565027611033,0.4797586597333266,0.1245910641563429,-7173.4525033933405,0.42167243098161267,0.465978499420421,0.1123490695979662,0.6902045078371156,0.4350352358113854,0.7991804292932084,0.41212604040416273,0.0807625649913345,11.758620689655173,9.829166666666667,77.17073170731707,1.2924528301886793,0.04280762564991335,21.156934306569344,19.1021897810219,80.5,2.792079207920792
9,-7422.517678603038,0.6656825427739482,0.2959045606317297,0.0384128965943216,-7478.426144250318,0.7121702495824882,0.2856256712439312,0.0022040791735806644,0.6558215452400903,0.3968088680177817,0.3564430699566787,0.5244675060782108,0.04993016759776536,18.405117270788914,24.351020408163265,20.885245901639344,1.1568627450980393,0.2003026070763501,4.90176036342987,8.29082774049217,1.4090382387022016,1.0
10,-6170.839704458565,0.4497740085827535,0.4463350134277595,0.1038909779894877,-6362.6104898359945,0.44715377395280237,0.47463020381939647,0.0782160222278012,0.6225089819891744,0.4521379573934974,0.6699976857142049,0.6830381776820115,0.08028590425531915,11.827788649706457,12.676328502415458,44.83098591549296,1.0171673819742488,0.22124335106382978,4.447387785136129,3.6925329428989753,5.144444444444445,6.108695652173913
11,-5327.506019705994,0.6773923193016489,0.3004245924259397,0.0221830882724123,-5409.937970376885,0.6375465477724598,0.3484276125178944,0.014025839709645797,0.658122510651343,0.33161702475774907,0.6713817109657508,0.1309921297244997,0.027001862197392923,31.735294117647058,46.68041237113402,37.01960784313726,1.0357142857142858,0.02063935443823712,39.717791411042946,187.5,29.649350649350648,1.03125
12,-6122.6135660425125,0.4427360814473934,0.4580509853526875,0.0992129331999194,-6339.791542802187,0.4031388690709292,0.5096426398588726,0.08721849107019825,0.745880257160907,0.4827805313262908,0.6760873594050026,0.39210397107018685,0.07262569832402235,13.0,12.818181818181818,30.245098039215687,1.8636363636363635,0.0633147113594041,14.780821917808218,12.204545454545455,79.5111111111111,1.2196531791907514
