subject_id,sensory_to_sensory_original,sensory_to_prior_original,sensory_to_lapse_original,prior_to_sensory_original,prior_to_prior_original,prior_to_lapse_original,lapse_to_sensory_original,lapse_to_prior_original,lapse_to_lapse_original,sensory_to_sensory_shuffled,sensory_to_prior_shuffled,sensory_to_lapse_shuffled,prior_to_sensory_shuffled,prior_to_prior_shuffled,prior_to_lapse_shuffled,lapse_to_sensory_shuffled,lapse_to_prior_shuffled,lapse_to_lapse_shuffled,frobenius_distance,original_mean_diagonal_transition,original_transition_entropy,shuffled_mean_diagonal_transition,shuffled_transition_entropy
1,0.8393959044650096,0.1539274523642464,0.006676643170744,0.3866093237394377,0.6133906750532864,1.207275831636964e-09,0.8527712988795565,2.721055563574193e-07,0.147228429014887,0.7523897718278288,0.24351895640516452,0.004091271767006629,0.6681351863114249,0.32843528770078523,0.0034295259877899,0.9887309220836052,2.193222603477647e-06,0.011266884693791208,0.46156483320989505,0.5333383361777276,0.5178409575259459,0.36403064807413504,0.43229937184452455
2,0.6054390362420446,0.368366190517942,0.0261947732400133,0.1506850484535637,0.8473830420716891,0.0019319094747471,0.2247718805112253,7.404323145395858e-07,0.7752273790564601,0.3266963862815365,0.6675295482826963,0.0057740654357673555,0.258286853523493,0.7404421182413228,0.0012710282351840753,0.40492691966170846,2.3591164689953545e-07,0.5950728444266447,0.5055092736345984,0.7426831524567312,0.579190340253799,0.5540704496498347,0.6402088533213047
3,0.945871722675676,0.0267074485649346,0.0274208287593893,0.0410498095373415,0.9589501899265378,5.361206294027905e-10,0.957429043938421,1.3170585793410818e-08,0.0425709428909931,0.9547143637159808,0.016629054225387907,0.028656582058631298,0.027974418464593524,0.971519777819049,0.0005058037163575795,0.9633385582485764,1.1119349400618259e-08,0.0366614306320742,0.02409054466212678,0.649130951831069,0.19843562784422,0.6542985240557014,0.16776997921420259
4,0.8986846272893476,0.0349323395009211,0.0663830332097313,0.0352680270588337,0.9647319718578262,1.083340158386631e-09,0.8367442173324332,3.2718170077877715e-08,0.1632557499493968,0.8989984950041141,0.018907290360792667,0.08209421463509313,0.01985626102444455,0.9801437373510982,1.6244573127395242e-09,0.9739772649387698,2.7941401936301165e-08,0.02602270711982826,0.19658230943340288,0.6755574496988569,0.3302864597232227,0.6350549798250135,0.19802880608983764
5,0.9502926459235802,0.0363982439092002,0.0133091101672194,0.9856385835933036,0.0143613852635355,3.1143160793467855e-08,0.1790702513670756,1.502713877144819e-08,0.8209297336057856,0.9285447006840837,0.0013238630078465346,0.07013143630806984,0.07050353184185895,0.9294964143923903,5.3765750762256926e-08,0.7512886512292479,1.4428645087139397e-08,0.24871133434210704,1.5279869240753703,0.5951945882643005,0.2572369185503249,0.7022508164728604,0.3599448791164351
6,0.978126474396716,0.0062259096244058,0.015647615978878,0.0061566222789502,0.9938433770907924,6.30257123022262e-10,0.3381129209617551,0.0086542207733153,0.6532328582649295,0.9464161674511345,0.0057819727310826335,0.04780185981778292,0.010989780070424955,0.9890101914197833,2.850979171410928e-08,0.7619215247915402,0.007013004330600168,0.23106547087785975,0.599940067328526,0.8750675699174794,0.2805637963523549,0.7221639432495927,0.28941754369721107
7,0.9468937608817692,0.0084918017549977,0.0446144373632331,0.0140507347757898,0.9859492503765216,1.484768846419052e-08,0.9021874935860934,1.9499157600213918e-08,0.097812486914749,0.9604312386180044,5.391447427500712e-09,0.03956875599054821,0.0006390268473880262,0.9909216314294993,0.008439341723112729,0.8092570551685967,0.11677676130622944,0.07396618352517384,0.15296461527865876,0.67688516605768,0.20834393791226957,0.6751063511908925,0.27842377735055496
8,0.7706274993579684,0.0170379228556872,0.2123345777863443,0.0160126207140823,0.9839873769921136,2.293803891315034e-09,0.6840013330131733,1.982556163443696e-08,0.3159986471612651,0.8606268887457159,0.019476335924556512,0.11989677532972758,0.01771604622765253,0.9822839523861893,1.3861581710190214e-09,0.4453695481175667,5.134713588985e-09,0.5546304467477199,0.36131240100731654,0.6902045078371156,0.4350352358113854,0.7991804292932084,0.41212604040416273
9,0.9040765258723492,0.0485016090329294,0.0474218650947213,0.106258161819666,0.8921778713826343,0.0015639667976995,0.8287897479151455,1.3619567115287246e-08,0.1712102384652873,0.732840152959725,0.2640496563663053,0.0031101906739697143,0.663511295499057,0.3364886952287378,9.27220513831887e-09,0.1056683708716721,0.8943312674467546,3.616815732241963e-07,1.4314733953093106,0.6558215452400903,0.3968088680177817,0.3564430699566787,0.5244675060782108
10,0.8001563580732673,0.0154512141722856,0.184392427754447,0.0102223653164618,0.9666097818666172,0.0231678528169209,0.8019504981621491,0.0972886958102124,0.1007608060276384,0.6193491224058292,0.32678691673737076,0.053863960856800085,0.30578949218803375,0.6942105013953431,6.416623061176e-09,0.30356654959003143,1.7068526171614765e-08,0.6964334333414424,0.9599137599617091,0.6225089819891744,0.4521379573934974,0.6699976857142049,0.6830381776820115
11,0.9577047534042906,0.0155547172287845,0.0267405293669248,0.0385193680386471,0.9575440585731274,0.0039365733882254,0.8105198280871782,0.1303614519362109,0.0591187199766109,0.9984388356003929,0.0015611639170825353,4.825245266239085e-10,0.0009980419066122248,0.9610354221294125,0.03796653596397541,2.639613745851484e-08,0.9453290984364157,0.05467087516744683,1.1516434412862222,0.658122510651343,0.33161702475774907,0.6713817109657508,0.1309921297244997
12,0.8362124572796817,0.0449042016633966,0.1188833410569216,0.0409907542055091,0.9557600515576684,0.0032491942368225,0.549818335918762,0.0045134014358671,0.4456682626453709,0.8119667597514169,0.02089796569296972,0.1671352745556134,0.016619836493305142,0.9833801611754049,2.33128991502457e-09,0.767084831959126,1.0752687780359647e-08,0.2329151572881862,0.3120076224552435,0.745880257160907,0.4827805313262908,0.6760873594050026,0.39210397107018685
