subject_id,fold_id,n_train_trials,n_test_trials,converged,n_iterations,train_ll,test_total_ll,test_ll_per_trial,perplexity
1,1,6413,2149,True,209,-2716.243779086343,-1044.8501086437327,-0.4862029356183028,1.6261299624186252
1,2,6413,2149,True,211,-2905.0594405112306,-854.2708251857883,-0.39752016062623935,1.4881297952929888
1,3,6418,2144,True,171,-2765.8715935957453,-1003.8362883915818,-0.4682072240632378,1.5971283318200604
1,4,6442,2120,True,211,-2840.3383774934423,-919.664230699512,-0.4338038824054302,1.5431162062002919
2,1,6175,1702,True,76,-3214.1474047025986,-909.8456779411624,-0.5345744288725983,1.7067217561774892
2,2,5747,2130,True,235,-2792.5709907974165,-1320.7263059346224,-0.6200592985608556,1.8590382768723146
2,3,5747,2130,True,84,-3000.5827464097047,-1136.8477348888664,-0.5337313309337401,1.7052834289931924
2,4,5962,1915,True,133,-3285.1810130879185,-850.599352196622,-0.4441772074133796,1.5592067641394887
3,1,6842,2570,True,268,-2911.6452058526193,-1019.9454963502657,-0.3968659518872629,1.4871565661583903
3,2,7048,2364,False,300,-3051.966485294518,-964.3902609622398,-0.4079485029451099,1.503729721524163
3,3,7075,2337,True,263,-2819.117189269831,-1112.219977075712,-0.4759178335796799,1.6094907644305423
3,4,7271,2141,False,300,-3033.666939682179,-899.4750063973908,-0.42011910621083176,1.5221428414884774
4,1,3304,1495,True,163,-2292.1771412953067,-1308.139598221073,-0.8750097646963698,2.3988987183703383
4,2,3734,1065,True,217,-2801.793448707928,-776.2669402715728,-0.728889145794904,2.0727767755029127
4,3,3597,1202,True,159,-2772.100543199958,-822.3506753393175,-0.6841519761558382,1.9820902628268993
4,4,3762,1037,False,300,-2858.1024643979517,-721.9938190239727,-0.6962331909585079,2.006181554061367
5,1,4062,1727,False,300,-5253.610500220212,-2089.583951093578,-1.2099501743448628,3.3533175671418225
5,2,4533,1256,False,300,-5730.038393820289,-1595.288369377506,-1.2701340520521545,3.5613299339445295
5,3,4506,1283,False,300,-5591.125739648812,-1733.956219518664,-1.3514857517682495,3.8631609671624716
5,4,4266,1523,False,300,-5371.765985004461,-1957.5926067056987,-1.2853529919275763,3.6159441310534945
6,1,5621,1932,False,300,-4800.651620206342,-1969.6643010618784,-1.0194949798456927,2.7717945983023746
6,2,5801,1752,False,300,-5121.691009006321,-1638.793271160545,-0.9353842871920919,2.5481925073524057
6,3,5621,1932,False,300,-5183.994951304174,-1573.960205349731,-0.8146791953155957,2.2584510344509505
6,4,5616,1937,False,300,-5097.44629786697,-1656.438529155705,-0.8551567006482731,2.3517428713352873
7,1,4078,1719,False,300,-2767.3547894750513,-878.7734637066222,-0.5112120207717407,1.6673107861111482
7,2,4487,1310,False,300,-2722.1950662534964,-898.9455552742872,-0.6862179811254101,1.9861895042285014
7,3,4304,1493,True,204,-2510.405541953015,-1111.7775309024432,-0.7446601010733043,2.1057255794639826
7,4,4522,1275,False,300,-2835.2722635703817,-825.5610938252607,-0.6474988971178516,1.9107558506815008
8,1,4296,1501,False,300,-5053.974615444571,-1926.3313431597408,-1.2833653185607867,3.6087639534962306
8,2,4298,1499,False,300,-5304.523626389186,-1669.4091265027196,-1.1136818722499797,3.045551106829021
8,3,4283,1514,False,300,-5149.891077391192,-1832.5000733897245,-1.2103699295837018,3.35472543521745
8,4,4514,1283,False,300,-5322.045229102734,-1654.449367797862,-1.289516264846346,3.6310296741570234
9,1,6474,2158,False,300,-5353.740079841134,-1825.9695144407324,-0.846139719388662,2.330632568571811
9,2,6474,2158,False,300,-5470.484663912894,-1739.8517808677927,-0.8062334480388289,2.239457049878066
9,3,6474,2158,True,237,-5339.336619817914,-1842.3124896313059,-0.8537129238328572,2.3483499294166528
9,4,6474,2158,True,280,-5359.399174765177,-1823.119346995888,-0.8448189745115329,2.327556429391091
10,1,4965,1079,False,300,-5262.659053468435,-796.1357867909035,-0.7378459562473619,2.0914256366742907
10,2,4333,1711,False,300,-3930.2103590436527,-2161.3610099167086,-1.2632150846970827,3.5367742563177966
10,3,4316,1728,False,300,-4489.689524133651,-1562.9063373503332,-0.904459685966628,2.4705966643119073
10,4,4518,1526,False,300,-4400.113990716786,-1664.0817971512638,-1.0904861056037116,2.9757202353221457
11,1,4744,1730,False,300,-3921.1658874733475,-1317.6195060062364,-0.7616297722579402,2.141763965103499
11,2,4763,1711,False,300,-3818.058836005202,-1410.0108378698196,-0.8240858199122265,2.279795668593139
11,3,5169,1305,True,273,-4081.549802604332,-1010.6342025285921,-0.7744323391023694,2.169360316566574
11,4,4746,1728,True,196,-3561.4778246411,-1563.3958575757256,-0.9047429731341005,2.47129665178696
12,1,4746,1728,False,300,-4596.914107550757,-1408.16277195748,-0.8149090115494675,2.2589701228072525
12,2,4965,1509,True,187,-4340.250887447302,-1647.8239196909703,-1.091997296017873,2.9802205147501177
12,3,4542,1932,False,300,-4228.268122439621,-1766.094191676367,-0.9141274284039167,2.4945975869607295
12,4,5169,1305,True,97,-4712.881385514122,-1275.7553385875294,-0.9775902977682218,2.658043425369043
