model,state,metric,observed,simulated_mean,simulated_ci_low,simulated_ci_high,n_simulations
HMM_static,L_lapse,mean,3.4200164068908943,3.1438941081144174,3.041050922024657,3.252364786984085,100
HMM_static,L_lapse,median,2.0,2.0,2.0,2.0,100
HMM_static,L_lapse,q90,7.0,6.504000000000003,6.0,7.0,100
HMM_static,P_prior,mean,28.873345935727787,24.5512335141144,22.936351510481785,25.680616423863142,100
HMM_static,P_prior,median,13.0,17.32,16.0,19.0,100
HMM_static,P_prior,q90,70.0,55.924000000000014,51.0,60.0,100
HMM_static,S_sensory,mean,20.866179001721168,14.962439150566963,14.441308145051297,15.40405955065525,100
HMM_static,S_sensory,median,10.0,10.62,10.0,11.0,100
HMM_static,S_sensory,q90,52.0,33.755,32.33250000000013,35.0,100
Covariate_HMM,L_lapse,mean,2.306742151312404,2.295553500653379,2.227054435469047,2.374070411498379,100
Covariate_HMM,L_lapse,median,1.0,2.0,2.0,2.0,100
Covariate_HMM,L_lapse,q90,4.0,4.149000000000001,4.0,5.0,100
Covariate_HMM,P_prior,mean,7.921845318860243,6.75158010139979,6.579082569612432,6.93931525267929,100
Covariate_HMM,P_prior,median,3.0,3.0,3.0,3.0,100
Covariate_HMM,P_prior,q90,17.0,15.955,15.0,17.0,100
Covariate_HMM,S_sensory,mean,6.349210822998873,5.4829140519997726,5.371318261767523,5.6085455418597245,100
Covariate_HMM,S_sensory,median,4.0,4.0,4.0,4.0,100
Covariate_HMM,S_sensory,q90,14.0,12.01,12.0,12.0,100
