model,motion_coherence,prior_std,condition,observed_total_n,observed_retained_n,observed_retained_rate,simulated_retained_n_mean,simulated_retained_rate_mean,simulated_retained_rate_ci_low,simulated_retained_rate_ci_high,n_simulations
HMM_static,0.0599999999999999,10,0.06/10,8132,7936,0.9758976881455976,7763.7,0.9547097884899166,0.94723930152484,0.9633669454008854,100
HMM_static,0.0599999999999999,20,0.06/20,8171,7956,0.9736874311589768,7801.96,0.954835393464692,0.9472402398727204,0.9619508016154692,100
HMM_static,0.0599999999999999,40,0.06/40,7784,7437,0.9554213771839672,7435.71,0.9552556526207606,0.9463482785200412,0.9628725590955804,100
HMM_static,0.0599999999999999,80,0.06/80,16663,15440,0.9266038528476264,15931.49,0.9560997419432276,0.9496429214427174,0.9618976174758443,100
HMM_static,0.12,10,0.12/10,5596,5425,0.9694424588992137,5288.37,0.9450268048606146,0.9357353466761972,0.955700500357398,100
HMM_static,0.12,20,0.12/20,5925,5727,0.9665822784810126,5599.19,0.9450109704641348,0.9378818565400844,0.953506329113924,100
HMM_static,0.12,40,0.12/40,5803,5484,0.9450284335688436,5486.61,0.9454782009305532,0.9377003274168532,0.9536532827847664,100
HMM_static,0.12,80,0.12/80,11589,10573,0.9123306583829492,10963.67,0.9460410734317024,0.938903270342566,0.9526986797825524,100
HMM_static,0.2399999999999999,10,0.24/10,2844,2777,0.9764416315049224,2674.6,0.9404360056258791,0.9308983825597748,0.9525668073136428,100
HMM_static,0.2399999999999999,20,0.24/20,2372,2328,0.981450252951096,2228.74,0.9396037099494096,0.9291736930860032,0.9496311129848228,100
HMM_static,0.2399999999999999,40,0.24/40,2324,2254,0.9698795180722892,2186.8,0.9409638554216864,0.9302925989672975,0.9531411359724612,100
HMM_static,0.2399999999999999,80,0.24/80,6007,5704,0.949558848010654,5654.21,0.941270184784418,0.93287830863992,0.9509488929582152,100
Covariate_HMM,0.0599999999999999,10,0.06/10,8132,7731,0.9506886374815544,7873.27,0.9681837186424004,0.9502428676832269,0.98125,100
Covariate_HMM,0.0599999999999999,20,0.06/20,8171,7717,0.9444376453310488,7676.56,0.939488434708114,0.9296108187492352,0.9489780932566392,100
Covariate_HMM,0.0599999999999999,40,0.06/40,7784,6796,0.8730729701952723,6739.46,0.8658093525179855,0.8562243062692702,0.8781506937307297,100
Covariate_HMM,0.0599999999999999,80,0.06/80,16663,12366,0.7421232671187659,12634.36,0.758228410250255,0.7500870191442117,0.7670317469843365,100
Covariate_HMM,0.12,10,0.12/10,5596,5312,0.9492494639027876,5423.92,0.9692494639027875,0.9510855968548964,0.9845469978556108,100
Covariate_HMM,0.12,20,0.12/20,5925,5636,0.9512236286919828,5654.79,0.9543949367088608,0.9457088607594936,0.9626455696202532,100
Covariate_HMM,0.12,40,0.12/40,5803,5406,0.9315871101154573,5354.75,0.9227554713079444,0.9143546441495776,0.930298983284508,100
Covariate_HMM,0.12,80,0.12/80,11589,10204,0.8804901199413236,10133.04,0.8743670722236601,0.8650638536543273,0.8836310294244542,100
Covariate_HMM,0.2399999999999999,10,0.24/10,2844,2698,0.9486638537271448,2764.68,0.97210970464135,0.9569004922644164,0.9843618143459916,100
Covariate_HMM,0.2399999999999999,20,0.24/20,2372,2318,0.9772344013490724,2314.99,0.9759654300168632,0.9677381956155144,0.9829363406408091,100
Covariate_HMM,0.2399999999999999,40,0.24/40,2324,2275,0.9789156626506024,2262.43,0.9735068846815836,0.9662112736660928,0.9800236660929432,100
Covariate_HMM,0.2399999999999999,80,0.24/80,6007,5787,0.9633760612618611,5797.11,0.9650590977193276,0.960379557183286,0.9698768103878808,100
